id,kh_question_1,kh_question_2,kh_answers,kh_correct_answer,level,en_question_1,en_question_2,en_answers,en_correct_answer
91,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ83ធំជាងលេខ80?,83  ___  80,"<, >, =",>,4,Which symbol makes this statement true?,83  ___  80,"<, >, =",>
92,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ1តូចជាងលេខ5?,1  ___  5 ,"<, >, =",<,4,Which symbol makes this statement true?,1  ___  5 ,"<, >, =",<
93,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ45តូចជាងលេខ47?,45  ___  47,"<, >, =",<,4,Which symbol makes this statement true?,45  ___  47,"<, >, =",<
94,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ7ស្មើរ7?,7  ___  7,"<, >, =",=,4,Which symbol makes this statement true?,7  ___  7,"<, >, =",=
95,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ0តូចជាង3?,0  ___  3,"<, >, =",<,4,Which symbol makes this statement true?,0  ___  3,"<, >, =",<
96,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ9តូចជាង14?,9  ___  14,"<, >, =",<,4,Which symbol makes this statement true?,9  ___  14,"<, >, =",<
97,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ64ធំជាង18?,64  ___  18,"<, >, =",>,4,Which symbol makes this statement true?,64  ___  18,"<, >, =",>
98,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ29 ស្មើរ29?,29  ___  29,"<, >, =",=,4,Which symbol makes this statement true?,29  ___  29,"<, >, =",=
99,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ6 ធំជាង 2?,6  ___  2,"<, >, =",>,4,Which symbol makes this statement true?,6  ___  2,"<, >, =",>
100,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ8 ធំជាង 7?,8  ___  7,"<, >, =",>,4,Which symbol makes this statement true?,8  ___  7,"<, >, =",>
101,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ129 ធំជាង 128?,129  ___  128,"<, >, =",>,4,Which symbol makes this statement true?,129  ___  128,"<, >, =",>
102,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ832 ធំជាង 211?,832  ___  211,"<, >, =",>,4,Which symbol makes this statement true?,832  ___  211,"<, >, =",>
103,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ393 ធំជាង 363?,393  ___  363,"<, >, =",>,4,Which symbol makes this statement true?,393  ___  363,"<, >, =",>
104,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ8 ធំជាង 6?,8  ___  6,"<, >, =",>,4,Which symbol makes this statement true?,8  ___  6,"<, >, =",>
105,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ92 តូចជាង90?,92  ___  90,"<, >, =",>,4,Which symbol makes this statement true?,92  ___  90,"<, >, =",>
106,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ42តូចជាង49?,42  ___  49,"<, >, =",<,4,Which symbol makes this statement true?,42  ___  49,"<, >, =",<
107,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ634 ស្មើរ 634?,634  ___  634,"<, >, =",=,4,Which symbol makes this statement true?,634  ___  634,"<, >, =",=
108,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ291 ធំជាង 82?,291  ___  82,"<, >, =",>,4,Which symbol makes this statement true?,291  ___  82,"<, >, =",>
109,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ3 តូចជាង394?,3  ___  394,"<, >, =",<,4,Which symbol makes this statement true?,3  ___  394,"<, >, =",<
110,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ43 ស្មើរ 43?,43  ___  43,"<, >, =",=,4,Which symbol makes this statement true?,43  ___  43,"<, >, =",=
111,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ283 ស្មើរ 283?,283  ___  283,"<, >, =",=,4,Which symbol makes this statement true?,283  ___  283,"<, >, =",=
112,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ302 ស្មើរ 302?,302  ___  302,"<, >, =",=,4,Which symbol makes this statement true?,302  ___  302,"<, >, =",=
113,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ5 ស្មើរ 5?,5  ___  5,"<, >, =",=,4,Which symbol makes this statement true?,5  ___  5,"<, >, =",=
114,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ293 ធំជាង 290?,293  ___  290,"<, >, =",>,4,Which symbol makes this statement true?,293  ___  290,"<, >, =",>
115,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ123 ធំជាង 122?,123  ___  122,"<, >, =",>,4,Which symbol makes this statement true?,123  ___  122,"<, >, =",>
116,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ324 ធំជាង 323?,324  ___  323,"<, >, =",>,4,Which symbol makes this statement true?,324  ___  323,"<, >, =",>
117,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ38 ធំជាង 36?,38  ___  36,"<, >, =",>,4,Which symbol makes this statement true?,38  ___  36,"<, >, =",>
118,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ374 ធំជាង 37?,374  ___  37,"<, >, =",>,4,Which symbol makes this statement true?,374  ___  37,"<, >, =",>
119,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ221 តូចជាង393?,221  ___  393,"<, >, =",<,4,Which symbol makes this statement true?,221  ___  393,"<, >, =",<
120,តើនិមិត្តសញ្ញាមួយណាដែល​​ធ្វើឱ្យលេខ485 ធំជាង 23?,485  ___  23,"<, >, =",>,4,Which symbol makes this statement true?,485  ___  23,"<, >, =",>
121,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"48,  50,  52,  54,  __","54, 56, 57, 58",56,5,What is the missing number?,"48,  50,  52,  54,  __","54, 56, 57, 58",56
122,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"45,  50,   __,  60,   65","63, 55, 54, 50",55,5,What is the missing number?,"45,  50,   __,  60,   65","63, 55, 54, 50",55
123,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"67,  70,  73,  __,  79","75, 76, 77, 80",76,5,What is the missing number?,"67,  70,  73,  __,  79","75, 76, 77, 80",76
124,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"68,  72,  76,  __","77, 80, 81, 78",80,5,What is the missing number?,"68,  72,  76,  __","77, 80, 81, 78",80
125,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"__,  96,  100,  104","95, 94, 92, 88",92,5,What is the missing number?,"__,  96,  100,  104","95, 94, 92, 88",92
126,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"75,  80,  85,  __,  95","92, 90, 80, 75",90,5,What is the missing number?,"75,  80,  85,  __,  95","92, 90, 80, 75",90
127,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"420,  __,  424,  426,  428","421, 422, 442, 430",422,5,What is the missing number?,"420,  __,  424,  426,  428","421, 422, 442, 430",422
128,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"33,  36,  __,  42,  45","35, 39, 40, 37",39,5,What is the missing number?,"33,  36,  __,  42,  45","35, 39, 40, 37",39
129,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"3,  7,  11,  15,  __","20, 17, 19, 16",19,5,What is the missing number?,"3,  7,  11,  15,  __","20, 17, 19, 16",19
130,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"__,  64,  66,  68","60, 61, 62, 66",62,5,What is the missing number?,"__,  64,  66,  68","60, 61, 62, 66",62
